"Broker","Seniority","Policies_in_force","Lapse","Payment","Premium","Cost_claims_year","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","Power","Cylinder_capacity","Value_vehicle","N_doors","Diesel","Length","Weight","Premium_class","age","Licence_time"
"0","1+","2","0",0,4998,66.83,1,10,"passenger cars",1,0,100,1198,19500,"3",0,4.302,1205,"150-300","senior","experienced driver"
"0","1+","3","0",0,5333,49.95,1,6,"passenger cars",1,0,90,1997,18943,"5",1,4.276,1300,"150-300","adult","experienced driver"
"0","1+","3","0",0,785,112.53,1,3,"motorbikes",1,0,11,108,2289,"0",0,3.52,100,"0-150","adult","experienced driver"
"1","1","1","0",0,22245,94.25,1,1,"passenger cars",0,0,306,2979,64700,"2",0,4.612,1735,"600+","young adult","young driver"
"1","1+","2","0",0,14063,239.92,1,4,"passenger cars",1,1,163,505,10900,"4",1,2.95,350,"300-450","adult","experienced driver"
"1","1+","2","0",1,19871,49.95,1,2,"passenger cars",0,0,90,1896,17350,"5",1,4.315,1365,"450-600","adult","experienced driver"
"1","1+","5","0",0,1294,107.16,1,5,"motorbikes",0,0,0,249,5799,"0",0,4.435,98,"0-150","senior","senior driver"
"0","1","1","0",0,3210,81.89,1,1,"passenger cars",0,0,115,1598,21090,"3",0,4.204,1184,"150-300","senior","senior driver"
"0","1+","2","0",0,214,49.95,1,2,"vans",0,0,70,1399,14600,"3",1,3.95,1012,"0-150","senior","experienced driver"
"1","1","1","0",1,12606,882,1,1,"vans",0,0,100,1870,22810,"5",1,4.782,1678,"300-450","adult","experienced driver"
"1","1","1","0",0,14386,2757.84,2,2,"passenger cars",0,0,110,1560,23080,"5",1,4.745,1425,"300-450","young adult","young driver"
"0","1+","2","0",1,17114,448.38,1,3,"passenger cars",0,0,115,1498,32250,"5",1,4.524,1614,"300-450","adult","experienced driver"
"1","1+","1","0",1,14736,54.89,1,1,"passenger cars",1,1,100,1896,16566,"5",1,3.953,1165,"300-450","adult","experienced driver"
"0","1","1","0",1,9754,214.72,2,2,"passenger cars",1,0,95,1390,13733.13,"2",0,3.931,1045,"150-300","adult","young driver"
"0","1","1","0",1,13191,106.9,1,1,"passenger cars",0,0,136,1997,25950,"5",1,4.59,1620,"300-450","adult","experienced driver"
"0","1+","2","0",1,12432,397.16,2,2,"passenger cars",1,0,115,1753,19670,"5",1,4.174,1218,"300-450","senior","senior driver"
"0","1+","1","0",0,22781,717.4,1,6,"passenger cars",0,0,140,1968,28350,"5",1,4.286,1380,"600+","senior","experienced driver"
"0","1+","2","1",0,7607,113.69,1,2,"vans",0,1,64,1868,14709,"4",1,4.108,1155,"150-300","adult","experienced driver"
"0","1+","1","0",0,9359,145.54,1,7,"vans",0,0,71,1997,18875.39,"4",1,4.44,1415,"150-300","senior","experienced driver"
"0","1+","2","1",1,19573,146.64,2,2,"passenger cars",0,0,130,1956,25800,"5",1,4.83,1538,"450-600","young adult","young driver"
"1","1","1","0",0,15354,51.95,1,1,"passenger cars",0,0,90,1461,17950,"5",1,4.062,1071,"300-450","young adult","young driver"
"1","1","2","0",0,9374,453.08,2,2,"passenger cars",0,1,136,1995,31400,"5",1,4.52,1430,"150-300","senior","experienced driver"
"0","1+","1","0",0,8330,960.75,1,4,"passenger cars",1,0,90,1461,12530.97,"5",1,4.363,1205,"150-300","70+","senior driver"
"0","1+","3","1",1,10659,173.04,1,1,"passenger cars",0,0,55,1560,20100,"5",0,4.481,1282,"150-300","young adult","experienced driver"
"1","1+","1","1",1,16992,51.95,1,2,"passenger cars",1,0,100,1910,26150,"4",1,4.611,1430,"300-450","adult","experienced driver"
"1","1","1","0",0,15360,645.33,1,1,"passenger cars",0,0,75,999,13290,"5",0,4.061,1043,"300-450","young adult","young driver"
"0","1+","4","0",1,18697,409.29,1,11,"passenger cars",0,1,90,1598,18350.01,"5",1,4.248,1320,"300-450","adult","experienced driver"
"0","1+","2","0",0,4174,147.34,1,7,"passenger cars",0,1,90,1896,19035,"5",1,4.439,1286,"150-300","adult","experienced driver"
"0","1+","1","0",0,14260,3891.92,3,7,"passenger cars",0,0,140,1968,31610,"4",1,4.586,1430,"300-450","adult","experienced driver"
"0","1+","1","0",0,9386,86.03,1,6,"passenger cars",0,0,69,1242,15649.99,"3",0,3.571,865,"150-300","young adult","experienced driver"
"0","1+","1","0",1,14180,179.94,1,6,"passenger cars",0,0,90,1905,17934.2,"4",1,4.6,1375,"300-450","young adult","young driver"
"1","1+","1","0",1,9489,124.44,1,4,"passenger cars",0,0,55,1196,7140.02,"3",0,3.43,723,"150-300","young adult","experienced driver"
"1","1+","1","0",0,10435,421.86,1,1,"passenger cars",0,0,140,1968,30310,"4",1,4.765,1454,"150-300","young adult","experienced driver"
"1","1+","2","0",0,13055,421.85,1,1,"passenger cars",0,0,92,1896,19751.12,"5",1,4.315,1250,"300-450","adult","experienced driver"
"0","1","1","0",0,17057,81.65,1,1,"passenger cars",0,0,100,1560,21450,"5",1,4.159,1165,"300-450","young adult","experienced driver"
"1","1","1","0",1,21476,69.7,1,1,"passenger cars",0,0,110,1560,25600,"5",1,4.59,1539,"450-600","adult","young driver"
"0","1+","2","0",1,10621,56.08,1,1,"passenger cars",0,0,80,1388,14520,"5",0,3.916,1066,"150-300","young adult","experienced driver"
"1","1+","1","0",0,16525,88.14,1,5,"passenger cars",1,0,116,1699,21950,"5",0,3.883,1165,"300-450","senior","experienced driver"
"1","1+","3","0",1,15429,76.33,1,1,"vans",1,0,110,2800,22825,"5",1,5.005,1950,"300-450","adult","experienced driver"
"1","1","1","0",1,20587,504.25,1,1,"passenger cars",0,0,75,1248,14350,"5",1,3.999,1160,"450-600","young adult","young driver"
"1","1+","1","0",1,19181,217.36,2,14,"passenger cars",0,0,68,1399,13550,"5",1,3.916,1077,"450-600","senior","experienced driver"
"1","1","1","0",0,9725,645.3,1,1,"passenger cars",0,0,140,1991,24285,"5",1,4.35,1687,"150-300","adult","experienced driver"
"1","1+","1","0",1,11329,58.37,1,4,"vans",0,0,71,1868,12873.68,"4",1,4.108,1185,"150-300","adult","experienced driver"
"1","1+","3","1+",0,16968,164.77,1,3,"vans",0,0,112,2820,18707.39,"3",1,5.35,1900,"300-450","70+","senior driver"
"1","1+","2","0",0,11945,76.33,3,21,"passenger cars",0,0,95,2497,48555.77,"3",1,4.972,2115,"300-450","70+","senior driver"
"0","1+","1","0",1,10123,67.11,1,2,"passenger cars",1,0,60,1242,13090,"5",0,3.95,1098,"150-300","70+","senior driver"
"1","1+","1","0",1,15722,30882,1,6,"passenger cars",0,0,90,1997,18340,"5",1,4.202,1243,"300-450","senior","experienced driver"
"0","1+","1","0",0,13517,94.29,1,3,"vans",0,0,108,2953,28024.38,"2",1,5.455,1991,"300-450","senior","senior driver"
"0","1+","1","0",1,7473,103.02,1,2,"passenger cars",0,0,84,2477,20395.35,"5",1,4.49,1740,"150-300","senior","senior driver"
"0","1+","2","0",0,1768,81.79,1,3,"passenger cars",1,0,140,1968,23800,"5",1,4.28,1430,"0-150","senior","senior driver"
"1","1+","2","0",0,8801,963.79,2,15,"passenger cars",1,0,90,1997,19379,"5",1,4.188,1200,"150-300","senior","experienced driver"
"0","1","1","0",0,11031,282.31,1,1,"vans",0,1,140,2198,31745,"2",1,5.114,1680,"150-300","senior","senior driver"
"0","1+","2","0",1,11774,193.46,1,6,"passenger cars",1,0,73,996,8563.54,"5",0,3.5,855,"300-450","senior","experienced driver"
"0","1","1","0",1,22923,882,1,1,"passenger cars",0,1,105,1896,17120,"5",1,4.052,1125,"600+","senior","experienced driver"
"0","1+","2","0",0,13638,74.23,1,1,"passenger cars",1,0,92,1560,17530,"4",1,4.427,1165,"300-450","senior","senior driver"
"0","1","1","0",1,13520,1048.06,2,2,"passenger cars",0,0,136,2143,33343.87,"5",1,4.448,1605,"300-450","senior","senior driver"
"0","1+","1","0",0,19697,1947.22,1,7,"passenger cars",1,0,78,1248,12600,"5",0,3.94,945,"450-600","senior","senior driver"
"0","1","2","1",1,11410,51.95,1,1,"passenger cars",1,0,90,1997,18598,"5",1,4.188,1200,"300-450","senior","senior driver"
"1","1","1","0",0,15945,202.06,1,1,"vans",1,0,90,1248,19814.94,"4",1,4.39,1270,"300-450","senior","senior driver"
"0","1+","1","0",0,15202,253.67,3,6,"passenger cars",0,0,64,995,8570,"5",0,3.495,855,"300-450","young adult","young driver"
"1","1","1","0",1,11197,315.66,1,1,"passenger cars",1,0,105,1598,22250,"5",1,4.315,1365,"150-300","senior","senior driver"
"0","1+","2","0",1,6983,346.12,1,2,"passenger cars",0,1,114,1769,14754,"5",0,4.425,1215,"150-300","senior","experienced driver"
"1","1+","1","0",0,9345,1751.95,2,6,"passenger cars",1,0,92,1560,18940,"3",1,4.274,1182,"150-300","senior","senior driver"
"0","1+","1","0",0,10720,150.25,1,1,"passenger cars",0,0,105,1598,21100,"5",1,4.199,1243,"150-300","senior","senior driver"
"1","1+","1","1",1,22247,150.25,1,12,"vans",0,0,109,2148,24766,"5",1,4.748,1790,"600+","senior","senior driver"
"0","1+","1","0",0,3928,882,1,7,"passenger cars",1,0,70,1398,16590,"5",1,4.03,1184,"150-300","senior","senior driver"
"0","1+","2","0",0,1954,73.57,2,3,"passenger cars",1,0,90,1997,14322.12,"5",1,4.18,1155,"0-150","senior","senior driver"
"0","1","1","0",1,13309,174.81,1,1,"passenger cars",1,0,60,1299,9830,"5",0,3.828,948,"300-450","young adult","experienced driver"
"0","1+","3","1+",1,22248,332.09,1,4,"passenger cars",0,1,90,1685,26100,"3",1,4.44,1415,"600+","senior","senior driver"
"0","1","1","0",0,8409,80.52,1,1,"passenger cars",0,0,218,3199,48850,"2",0,4.58,1495,"150-300","senior","senior driver"
"0","1+","4","0",1,11309,882,2,9,"passenger cars",1,0,115,2171,26710,"3",1,4.268,1720,"150-300","adult","experienced driver"
"0","1+","5","0",0,1782,198.68,1,5,"motorbikes",1,0,0,980,7969.42,"0",0,3.65,218,"0-150","senior","experienced driver"
"0","1+","3","0",0,10308,4062,1,15,"passenger cars",1,0,85,1896,16060,"3",1,4.163,1156,"150-300","senior","experienced driver"
"0","1+","2","1",0,12493,1313.84,1,1,"passenger cars",0,1,64,1896,23150,"3",1,4.152,1260,"300-450","senior","senior driver"
"0","1+","3","0",0,15819,549,1,4,"passenger cars",1,0,60,1248,16415.01,"3",0,4.045,1127,"300-450","senior","senior driver"
"0","1+","1","0",0,13279,100.34,1,6,"passenger cars",0,0,125,1461,21090,"3",1,4.135,1305,"300-450","senior","experienced driver"
"0","1+","2","1",1,7149,882,1,4,"passenger cars",0,1,68,1399,14200,"5",1,3.95,1141,"150-300","senior","experienced driver"
"0","1","1","0",0,718,51.95,1,1,"motorbikes",0,0,10,125,3555,"0",0,2.09,110,"0-150","senior","experienced driver"
"0","1+","1","0",0,10401,51.95,1,1,"passenger cars",0,0,143,2148,38439.2,"5",1,4.541,1495,"150-300","senior","experienced driver"
"0","1","1","0",1,8207,51.95,1,1,"passenger cars",1,0,105,1896,21470,"5",1,4.569,1335,"150-300","senior","senior driver"
"0","1+","3","1",1,20949,1890.96,1,6,"passenger cars",0,1,105,1796,28900,"4",1,4.292,1400,"450-600","senior","experienced driver"
"0","1+","1","0",0,18168,934.98,2,9,"passenger cars",1,0,92,1560,17740,"5",1,4.26,1182,"300-450","senior","experienced driver"
"1","1+","7","1",1,11037,3493.16,5,15,"passenger cars",0,0,68,1997,16828.34,"4",1,4.012,1050,"150-300","adult","experienced driver"
"1","1+","1","0",1,11470,408.82,1,2,"passenger cars",0,0,140,1968,34350,"5",1,4.586,1490,"300-450","adult","experienced driver"
"0","1+","4","0",1,3248,86.03,1,11,"passenger cars",0,0,110,2283,18193,"3",1,4.32,1570,"150-300","adult","experienced driver"
"1","1+","5","1",0,882,70.21,1,3,"motorbikes",0,0,0,49,3825,"0",0,3.88,92,"0-150","adult","experienced driver"
"1","1+","12","1",1,11927,77.54,2,6,"passenger cars",0,0,180,2993,37900,"4",0,4.52,1525,"300-450","adult","experienced driver"
"0","1","1","0",0,11070,753.11,3,3,"passenger cars",0,0,130,1998,35200,"4",1,4.672,1502,"150-300","senior","experienced driver"
"0","1+","4","0",1,14864,345.67,3,12,"vans",1,1,135,2463,22562.81,"5",1,4.782,1745,"300-450","adult","experienced driver"
"0","1","1","0",1,18798,51.95,1,1,"vans",1,0,65,1870,14550,"5",1,3.995,1110,"300-450","adult","young driver"
"0","1+","5","1+",1,7464,882,2,3,"passenger cars",0,0,71,1995,28500,"4",1,4.471,1320,"150-300","adult","experienced driver"
"1","1+","2","0",0,4204,123.27,2,5,"passenger cars",1,0,75,1242,13255,"5",0,3.925,1050,"150-300","adult","experienced driver"
"0","1+","2","0",0,2486,882,1,1,"passenger cars",1,1,75,1390,12905,"3",0,3.953,1034,"150-300","adult","experienced driver"
"1","1","1","1",1,18291,69.46,1,1,"vans",1,0,145,2261,28150,"2",0,5.931,1718,"300-450","senior","experienced driver"
"0","1+","1","1",0,9082,882,1,6,"passenger cars",1,0,100,1595,13615.04,"5",0,4.33,1080,"150-300","adult","experienced driver"
"0","1+","1","0",1,17974,594.1,1,1,"passenger cars",0,1,60,1598,21695,"4",1,4.199,1243,"300-450","adult","experienced driver"
"0","1+","1","0",1,12975,933.95,2,3,"passenger cars",1,0,127,1991,28245,"5",1,4.635,1820,"300-450","adult","experienced driver"
"0","1+","1","1",1,15158,238.08,1,7,"passenger cars",0,0,90,1896,15520,"5",1,4.507,1270,"300-450","adult","experienced driver"
"1","1+","2","0",1,15411,244.73,1,8,"passenger cars",0,0,60,1390,9420.24,"3",0,3.815,995,"300-450","adult","experienced driver"
"1","1","3","0",0,9185,614.53,1,1,"passenger cars",0,0,69,1242,15950,"3",0,3.571,865,"150-300","adult","experienced driver"
"0","1+","1","0",1,19790,1078.19,1,7,"passenger cars",1,0,101,1329,17570,"5",0,4.22,1220,"450-600","adult","experienced driver"
"1","1+","2","0",0,8888,882,2,3,"passenger cars",1,1,109,1995,42700,"3",1,4.843,1600,"150-300","adult","experienced driver"
"1","1+","5","0",0,237,433.27,1,4,"passenger cars",0,0,140,2664,23573,"5",1,4.217,1745,"0-150","adult","experienced driver"
"1","1+","1","0",1,16725,1282.56,1,3,"passenger cars",1,0,140,1997,33300,"5",1,4.772,1615,"300-450","adult","experienced driver"
"1","1","2","1",1,16515,58.53,1,1,"vans",1,0,102,2148,32000,"4",1,4.66,1851,"300-450","adult","experienced driver"
"0","1+","2","0",1,8973,150.25,1,5,"vans",0,0,122,2283,12573.17,"3",1,4.49,1505,"150-300","adult","experienced driver"
"1","1+","2","0",0,21565,6182.5,3,7,"passenger cars",0,1,100,1598,22225,"5",1,4.37,1350,"450-600","senior","senior driver"
"1","1+","4","0",1,16171,174.3,1,12,"vans",0,0,80,2499,18775.62,"5",1,4.888,1750,"300-450","adult","experienced driver"
"0","1+","2","0",0,18145,1376.5,3,3,"passenger cars",0,0,136,2494,26905,"4",1,5.255,1810,"300-450","adult","experienced driver"
"1","1+","1","0",1,21558,882,1,3,"passenger cars",1,0,136,1998,28675,"4",1,4.468,1376,"450-600","adult","experienced driver"
"0","1","1","0",1,21285,492.97,1,1,"passenger cars",1,0,75,1390,11954.13,"5",0,3.745,1034,"450-600","young adult",NA
"0","1+","1","1",0,17277,76.1,1,9,"passenger cars",1,0,75,1390,19590,"5",0,3.826,920,"300-450","adult","experienced driver"
"1","1+","1","0",1,16945,719.5,1,3,"passenger cars",0,0,110,1587,19550,"3",0,4.274,1200,"300-450","adult","young driver"
"1","1+","7","0",1,14235,58.53,1,2,"vans",1,1,60,1997,22780,"5",0,4.522,1512,"300-450","adult","experienced driver"
"0","1","2","0",0,6730,784.02,1,1,"vans",0,0,70,1248,16060,"5",1,4.322,1250,"150-300","70+","senior driver"
"1","1","2","0",0,5340,261.76,1,1,"passenger cars",0,0,115,1753,20300,"4",1,4.382,1253,"150-300","senior","senior driver"
"1","1","2","0",0,3032,882,1,1,"vans",1,0,64,1896,12455,"4",1,4.207,1135,"150-300","senior","senior driver"
"0","1+","5","1",0,360,13948.78,1,11,"vans",0,1,100,1956,32941.97,"5",1,4.963,1845,"0-150","senior","senior driver"
"0","1+","2","0",1,6973,85.6,1,4,"passenger cars",0,0,100,1870,23145,"5",0,4.209,1270,"150-300","senior","experienced driver"
"0","1+","3","0",1,3691,882,1,11,"passenger cars",0,0,130,1896,23415.43,"5",1,4.675,1375,"150-300","senior","senior driver"
"1","1+","4","0",1,14530,60.99,1,1,"passenger cars",1,0,129,1598,23000,"2",1,3.655,1140,"300-450","senior","senior driver"
"0","1+","3","0",1,20119,71.51,1,4,"passenger cars",0,1,100,1596,17590,"5",0,4.468,1202,"450-600","senior","senior driver"
"0","1+","1","0",1,7370,944.43,2,10,"passenger cars",0,0,90,1997,20300,"5",1,4.419,1328,"150-300","senior","senior driver"
"0","1+","1","0",0,20947,49.13,1,1,"passenger cars",0,1,110,1598,24954.68,"5",1,4.255,1299,"450-600","senior","experienced driver"
"0","1+","5","0",0,21726,112.39,2,5,"passenger cars",0,1,115,1560,21700,"5",1,4.556,1293,"600+","senior","experienced driver"
"0","1+","5","0",0,5640,882,2,5,"passenger cars",0,0,115,1598,22250,"5",1,4.315,1365,"150-300","senior","experienced driver"
"0","1+","1","0",0,13017,64.47,1,6,"passenger cars",1,0,90,1753,16880,"3",1,4.174,1197,"300-450","senior","experienced driver"
"1","1+","5","0",1,3015,49.13,1,7,"passenger cars",0,0,90,1686,15690,"3",1,4.11,1205,"150-300","senior","experienced driver"
"1","1+","1","0",1,22279,113.46,1,11,"vans",0,1,108,2953,29925,"2",1,5.548,2050,"600+","70+","experienced driver"
