"Premium","Cost_claims_year","Power","Cylinder_capacity","Value_vehicle","Length","Weight","Broker","newClient","Policies_in_force","Lapse","Payment","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","N_doors","Diesel"
669.6,85.86,140,1968,27210,4.206,1447,"1","0","2","0","0","2","2 - 4","passenger cars","1","1","5","1"
254.81,368.14,80,1422,15970,3.916,1089,"1","0","2","0","0","1","1","passenger cars","0","0","3","1"
305.95,67.11,120,1870,25260,4.576,1350,"0","0","1","0","0","1","5+","passenger cars","0","0","5","1"
311.1,60.11,100,1399,14385,3.916,1061,"0","0","1","0","0","1","5+","passenger cars","0","1","4","1"
251,67.11,110,1598,22910,4.576,1270,"1","0","1","0","0","1","2 - 4","passenger cars","1","0","5","0"
288.86,962.58,90,1560,20330,4.137,1230,"1","1","1","0","1","2","2 - 4","vans","0","1","5","1"
316.37,882,92,1560,19380,4.26,1182,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
340.16,2247.18,110,2184,17920,4.197,1296,"1","0","1","0","0","3","5+","passenger cars","1","1","3","1"
357.44,397.71,120,1598,17180,4.03,1180,"1","1","1","0","1","3","2 - 4","passenger cars","0","1","3","0"
384.43,141.38,60,1560,20100,4.481,1282,"0","1","1","0","0","1","2 - 4","passenger cars","0","1","4","1"
289.71,66.06,100,1995,23340,4.596,1450,"1","0","1","0","0","1","2 - 4","passenger cars","1","0","5","1"
394.64,244.49,116,2148,27106.88,4.748,1790,"0","0","4","0","0","2","2 - 4","vans","1","0","4","1"
156.09,49.95,75,1560,18594.55,4.137,1144,"0","0","2","0","0","1","5+","passenger cars","0","1","4","1"
315.38,57.89,112,1896,23880,4.152,1260,"0","0","3","0","1","1","2 - 4","passenger cars","1","0","5","1"
297.88,62.43,110,1598,18310,4.164,1280,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","0"
205.68,589.82,60,1124,9621.74,3.72,805,"0","1","5","0","1","3","2 - 4","passenger cars","0","0","3","0"
147.44,49.95,60,1582,22900,4.14,1255,"0","1","5","0","0","3","2 - 4","passenger cars","0","1","3","0"
61.55,150.25,60,1590,20000,3.675,925,"0","1","5","0","0","3","2 - 4","passenger cars","0","0","3","0"
377.72,73.33,127,2800,27773.48,4.945,1795,"0","0","1","0","0","1","5+","vans","1","0","2","1"
275.02,57.13,130,1870,22420,4.209,1270,"0","1","1","0","0","1","1","passenger cars","1","0","5","1"
409.8,49.13,63,1193,6595.45,3.64,900,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","5","0"
168.54,882,60,1390,9420.24,3.815,995,"1","0","6+","0","0","1","2 - 4","passenger cars","1","0","3","0"
259.63,152.27,143,1796,32102.58,4.448,1400,"0","1","1","0","0","1","1","passenger cars","0","0","3","0"
124.89,4833.73,80,1461,17920,4.035,1095,"1","0","2","0","0","2","2 - 4","vans","0","0","5","1"
451.71,150.25,90,1598,13754.49,4.11,1088,"1","0","2","1","0","1","5+","passenger cars","1","0","5","0"
330.33,237.01,64,1896,12392.59,3.815,1155,"1","0","1","0","1","2","5+","passenger cars","1","0","5","1"
134.39,107.35,100,1461,21510,4.259,1340,"1","0","2","0","1","1","2 - 4","passenger cars","0","0","5","1"
246.08,538.42,115,1753,20205,4.342,1415,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
144.8,882,20,448,9322,3.337,117,"0","1","1","0","0","1","2 - 4","motorbikes","0","0","0","0"
276.41,72.31,105,1598,22250,4.315,1365,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
983.04,1193.4,125,999,22025,4.36,1205,"0","1","1","0","1","2","2 - 4","passenger cars","0","1","5","0"
360.78,2902.23,105,1896,21090,4.204,1287,"0","1","1","0","1","3","2 - 4","passenger cars","0","0","5","1"
264,64.32,70,1422,14218,3.953,1106,"1","1","1","0","0","1","1","passenger cars","0","1","5","1"
194.56,933.95,105,1199,11010,3.817,960,"0","0","2","0","0","3","5+","passenger cars","0","1","5","1"
244.88,49.95,70,1248,20020,3.921,1273,"1","0","1","0","0","1","5+","passenger cars","1","0","2","1"
326.65,882,115,1910,22750,4.17,1290,"1","1","2","0","0","1","1","passenger cars","0","1","5","1"
436.45,69.91,108,1868,19200,4.522,1354,"0","0","3","0","1","2","5+","vans","1","0","6","1"
188.52,578.48,140,1968,30310,4.765,1454,"1","0","2","0","0","1","1","passenger cars","0","1","4","1"
104.49,56.85,22,243,4195,2.5,146,"1","1","1","0","0","1","1","motorbikes","0","0","0","0"
369.88,1701.06,65,3199,54512.77,4.818,1530,"0","0","4","1","0","4+","5+","passenger cars","1","0","5","1"
321.49,108.36,85,2148,27793.6,4.66,1730,"0","0","2","0","0","1","5+","vans","1","0","3","0"
571.57,4945.27,95,2148,23084,4.748,1745,"0","0","1","0","0","2","5+","vans","0","0","4","1"
288.79,966.33,150,1991,31750,4.635,1820,"0","0","2","0","0","2","5+","passenger cars","0","1","5","1"
218.15,882,75,1242,10559.78,3.828,940,"0","1","1","0","0","1","1","passenger cars","1","1","3","0"
297.83,167.53,75,2461,20001.45,4.707,1610,"1","0","4","0","0","2","5+","vans","0","0","5","1"
296.5,879.65,130,1998,28040,4.804,1512,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
256.41,55.17,170,1149,9796.5,3.43,830,"0","0","4","0","1","1","5+","passenger cars","0","1","4","1"
198.34,83.4,0,124,3490,3.551,162,"0","0","4","0","0","2","5+","motorbikes","1","0","0","0"
221.21,66.83,100,1198,19500,4.302,1205,"0","0","2","0","0","1","5+","passenger cars","1","0","3","0"
225.74,49.95,90,1997,18943,4.276,1300,"0","0","3","0","0","1","5+","passenger cars","1","0","5","1"
100.37,112.53,11,108,2289,3.995,100,"0","0","3","0","0","1","2 - 4","motorbikes","1","0","0","0"
675.54,94.25,306,2979,64700,4.612,1735,"1","1","1","0","0","1","1","passenger cars","0","0","2","0"
337.43,239.92,163,505,10900,2.95,350,"1","0","2","0","0","1","2 - 4","passenger cars","1","1","4","1"
479.01,49.95,90,1896,17350,4.315,1365,"1","0","2","0","1","1","2 - 4","passenger cars","0","0","5","1"
118.12,107.16,0,249,5799,3.43,98,"1","0","5","0","0","1","5+","motorbikes","0","0","0","0"
187.37,81.89,115,1598,21090,4.204,1184,"0","1","1","0","0","1","1","passenger cars","0","0","3","0"
59.52,49.95,70,1399,14600,3.95,1012,"0","0","2","0","0","1","2 - 4","vans","0","0","3","1"
316.7,882,100,1870,22810,4.782,1678,"1","1","1","0","1","1","1","vans","0","0","5","1"
342.48,2757.84,110,1560,23080,4.745,1425,"1","1","1","0","0","2","2 - 4","passenger cars","0","0","5","1"
393.9,448.38,115,1498,32250,4.524,1614,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","5","1"
348.16,54.89,100,1896,16566,3.953,1165,"1","0","1","0","1","1","1","passenger cars","1","1","5","1"
279.95,214.72,95,1390,13733.13,3.931,1045,"0","1","1","0","1","2","2 - 4","passenger cars","1","0","2","0"
324.93,106.9,136,1997,25950,4.59,1620,"0","1","1","0","1","1","1","passenger cars","0","0","5","1"
314.36,397.16,115,1753,19670,4.174,1218,"0","0","2","0","1","2","2 - 4","passenger cars","1","0","5","1"
860.54,717.4,140,1968,28350,4.286,1380,"0","0","1","0","0","1","5+","passenger cars","0","0","5","1"
254.13,113.69,64,1868,14709,4.108,1155,"0","0","2","1","0","1","2 - 4","vans","0","1","4","1"
275.22,145.54,71,1997,18875.39,4.44,1415,"0","0","1","0","0","1","5+","vans","0","0","4","1"
466.2,146.64,130,1956,25800,4.83,1538,"0","0","2","1","1","2","2 - 4","passenger cars","0","0","5","1"
358.38,51.95,90,1461,17950,4.062,1071,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
275.39,453.08,136,1995,31400,4.52,1430,"1","1","2","0","0","2","2 - 4","passenger cars","0","1","5","1"
262.58,960.75,90,1461,12530.97,4.363,1205,"0","0","1","0","0","1","2 - 4","passenger cars","1","0","5","1"
291.16,173.04,55,1560,20100,4.481,1282,"0","0","3","1","1","1","1","passenger cars","0","0","5","0"
391.02,51.95,100,1910,26150,4.611,1430,"1","0","1","1","1","1","2 - 4","passenger cars","1","0","4","1"
358.51,645.33,75,999,13290,4.061,1043,"1","1","1","0","0","1","1","passenger cars","0","0","5","0"
437.04,409.29,90,1598,18350.01,4.248,1320,"0","0","4","0","1","1","5+","passenger cars","0","1","5","1"
208.3,147.34,90,1896,19035,4.439,1286,"0","0","2","0","0","1","5+","passenger cars","0","1","5","1"
340.42,3891.92,140,1968,31610,4.586,1430,"0","0","1","0","0","3","5+","passenger cars","0","0","4","1"
275.56,86.03,69,1242,15649.99,3.571,865,"0","0","1","0","0","1","5+","passenger cars","0","0","3","0"
339.16,179.94,90,1905,17934.2,4.6,1375,"0","0","1","0","1","1","5+","passenger cars","0","0","4","1"
276.86,124.44,55,1196,7140.02,3.43,723,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","3","0"
288.43,421.86,140,1968,30310,4.765,1454,"1","0","1","0","0","1","1","passenger cars","0","0","4","1"
323.13,421.85,92,1896,19751.12,4.315,1250,"1","0","2","0","0","1","1","passenger cars","0","0","5","1"
392.5,81.65,100,1560,21450,4.159,1165,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
579.47,69.7,110,1560,25600,4.59,1539,"1","1","1","0","1","1","1","passenger cars","0","0","5","1"
290.69,56.08,80,1388,14520,3.916,1066,"0","0","2","0","1","1","1","passenger cars","0","0","5","0"
380.58,88.14,116,1699,21950,3.883,1165,"1","0","1","0","0","1","5+","passenger cars","1","0","5","0"
359.67,76.33,110,2800,22825,5.005,1950,"1","0","3","0","1","1","1","vans","1","0","5","1"
517.34,504.25,75,1248,14350,3.999,1160,"1","1","1","0","1","1","1","passenger cars","0","0","5","1"
452.17,217.36,68,1399,13550,3.916,1077,"1","0","1","0","1","2","5+","passenger cars","0","0","5","1"
279.6,645.3,140,1991,24285,4.35,1687,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
299.88,58.37,71,1868,12873.68,4.108,1185,"1","0","1","0","1","1","2 - 4","vans","0","0","4","1"
390.46,164.77,112,2820,18707.39,5.35,1900,"1","0","3","1","0","1","2 - 4","vans","0","0","3","1"
307.87,76.33,95,2497,48555.77,4.972,2115,"1","0","2","0","0","3","5+","passenger cars","0","0","3","1"
284.5,67.11,60,1242,13090,3.95,1098,"0","0","1","0","1","1","2 - 4","passenger cars","1","0","5","0"
364.69,30882,90,1997,18340,4.202,1243,"1","0","1","0","1","1","5+","passenger cars","0","0","5","1"
329.65,94.29,108,2953,28024.38,5.455,1991,"0","0","1","0","0","1","2 - 4","vans","0","0","2","1"
252.5,103.02,84,2477,20395.35,4.495,1740,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
133.56,81.79,140,1968,23800,4.28,1430,"0","0","2","0","0","1","2 - 4","passenger cars","1","0","5","1"
268.44,963.79,90,1997,19379,4.188,1200,"1","0","2","0","0","2","5+","passenger cars","1","0","5","1"
296.01,282.31,140,2198,31745,5.114,1680,"0","1","1","0","0","1","1","vans","0","1","2","1"
305.55,193.46,73,996,8563.54,3.5,855,"0","0","2","0","1","1","5+","passenger cars","1","0","5","0"
990.87,882,105,1896,17120,4.052,1125,"0","1","1","0","1","1","1","passenger cars","0","1","5","1"
331.36,74.23,92,1560,17530,4.427,1165,"0","0","2","0","0","1","1","passenger cars","1","0","4","1"
329.69,1048.06,136,2143,33343.87,4.448,1605,"0","1","1","0","1","2","2 - 4","passenger cars","0","0","5","1"
471.14,1947.22,78,1248,12600,3.94,945,"0","0","1","0","0","1","5+","passenger cars","1","0","5","0"
300.9,51.95,90,1997,18598,4.188,1200,"0","1","2","1","1","1","1","passenger cars","1","0","5","1"
368.82,202.06,90,1248,19814.94,4.39,1270,"1","1","1","0","0","1","1","vans","1","0","4","1"
355.91,253.67,64,995,8570,3.495,855,"0","0","1","0","0","3","5+","passenger cars","0","0","5","0"
298.05,315.66,105,1598,22250,4.315,1365,"1","1","1","0","1","1","1","passenger cars","1","0","5","1"
246.71,346.12,114,1769,14754,4.425,1215,"0","0","2","0","1","1","2 - 4","passenger cars","0","1","5","0"
275.05,1751.95,92,1560,18940,4.274,1182,"1","0","1","0","0","2","5+","passenger cars","1","0","3","1"
292,150.25,105,1598,21100,4.199,1243,"0","0","1","0","0","1","1","passenger cars","0","0","5","1"
676.79,150.25,109,2148,24766,4.748,1790,"1","0","1","1","1","1","5+","vans","0","0","5","1"
203.79,882,70,1398,16590,4.03,1184,"0","0","1","0","0","1","5+","passenger cars","1","0","5","1"
140.89,73.57,90,1997,14322.12,4.18,1155,"0","0","2","0","0","2","2 - 4","passenger cars","1","0","5","1"
326.5,174.81,60,1299,9830,3.828,948,"0","1","1","0","1","1","1","passenger cars","1","0","5","0"
676.85,332.09,90,1685,26100,4.44,1415,"0","0","3","1","1","1","2 - 4","passenger cars","0","1","3","1"
263.65,80.52,218,3199,48850,4.58,1495,"0","1","1","0","0","1","1","passenger cars","0","0","2","0"
299.59,882,115,2171,26710,4.268,1720,"0","0","4","0","1","2","5+","passenger cars","1","0","3","1"
134.08,198.68,0,980,7969.42,3.72,218,"0","0","5","0","0","1","5+","motorbikes","1","0","0","0"
286.77,4062,85,1896,16060,4.163,1156,"0","0","3","0","0","1","5+","passenger cars","1","0","3","1"
315.13,1313.84,64,1896,23150,4.152,1260,"0","0","2","1","0","1","1","passenger cars","0","1","3","1"
366.52,549,60,1248,16415.01,4.045,1127,"0","0","3","0","0","1","2 - 4","passenger cars","1","0","3","0"
326.06,100.34,125,1461,21090,4.135,1305,"0","0","1","0","0","1","5+","passenger cars","0","0","3","1"
248.74,882,68,1399,14200,3.95,1141,"0","0","2","1","1","1","2 - 4","passenger cars","0","1","5","1"
97.46,51.95,10,125,3555,3.337,110,"0","1","1","0","0","1","1","motorbikes","0","0","0","0"
287.99,51.95,143,2148,38439.2,4.541,1495,"0","0","1","0","0","1","1","passenger cars","0","0","5","1"
261.11,51.95,105,1896,21470,4.569,1335,"0","1","1","0","1","1","1","passenger cars","1","0","5","1"
539.94,1890.96,105,1796,28900,4.292,1400,"0","0","3","1","1","1","5+","passenger cars","0","1","4","1"
421.25,934.98,92,1560,17740,4.26,1182,"0","0","1","0","0","2","5+","passenger cars","1","0","5","1"
296.07,3493.16,68,1997,16828.34,4.012,1050,"1","0","6+","1","1","4+","5+","passenger cars","0","0","4","1"
301.69,408.82,140,1968,34350,4.586,1490,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
188.47,86.03,110,2283,18193,4.32,1570,"0","0","4","0","1","1","5+","passenger cars","0","0","3","1"
104.69,70.21,0,49,3825,3.23,92,"1","0","5","1","0","1","2 - 4","motorbikes","0","0","0","0"
307.66,77.54,180,2993,37900,4.52,1525,"1","0","6+","1","1","2","5+","passenger cars","0","0","4","0"
296.47,753.11,130,1998,35200,4.672,1502,"0","1","1","0","0","3","2 - 4","passenger cars","0","0","4","1"
350.48,345.67,135,2463,22562.81,4.782,1745,"0","0","4","0","1","3","5+","vans","1","1","5","1"
439.97,51.95,65,1870,14550,3.995,1110,"0","1","1","0","1","1","1","vans","1","0","5","1"
252.4,882,71,1995,28500,4.471,1320,"0","0","5","1","1","2","2 - 4","passenger cars","0","0","4","1"
208.95,123.27,75,1242,13255,3.925,1050,"1","0","2","0","0","2","5+","passenger cars","1","0","5","0"
161.58,882,75,1390,12905,3.953,1034,"0","0","2","0","0","1","1","passenger cars","1","1","3","0"
424.85,69.46,145,2261,28150,5.931,1718,"1","1","1","1","1","1","1","vans","1","0","2","0"
271.75,882,100,1595,13615.04,4.33,1080,"0","0","1","1","0","1","5+","passenger cars","1","0","5","0"
416.4,594.1,60,1598,21695,4.199,1243,"0","0","1","0","1","1","1","passenger cars","0","1","4","1"
322.11,933.95,127,1991,28245,4.635,1820,"0","0","1","0","1","2","2 - 4","passenger cars","1","0","5","1"
355.09,238.08,90,1896,15520,4.507,1270,"0","0","1","1","1","1","5+","passenger cars","0","0","5","1"
359.39,244.73,60,1390,9420.24,3.815,995,"1","0","2","0","1","1","5+","passenger cars","0","0","3","0"
273.07,614.53,69,1242,15950,3.571,865,"1","1","3","0","0","1","1","passenger cars","0","0","3","0"
474.92,1078.19,101,1329,17570,4.22,1220,"0","0","1","0","1","1","5+","passenger cars","1","0","5","0"
269.43,882,109,1995,42700,4.843,1600,"1","0","2","0","0","2","2 - 4","passenger cars","1","1","3","1"
61.74,433.27,140,2664,23573,4.217,1745,"1","0","5","0","0","1","2 - 4","passenger cars","0","0","5","1"
385.31,1282.56,140,1997,33300,4.772,1615,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","5","1"
380.32,58.53,102,2148,32000,4.66,1851,"1","1","2","1","1","1","1","vans","1","0","4","1"
270.5,150.25,122,2283,12573.17,4.49,1505,"0","0","2","0","1","1","5+","vans","0","0","3","1"
588.34,6182.5,100,1598,22225,4.37,1350,"1","0","2","0","0","3","5+","passenger cars","0","1","5","1"
373.03,174.3,80,2499,18775.62,4.888,1750,"1","0","4","0","1","1","5+","vans","0","0","5","1"
420.72,1376.5,136,2494,26905,5.255,1810,"0","0","2","0","0","3","2 - 4","passenger cars","0","0","4","1"
587.72,882,136,1998,28675,4.468,1376,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","4","1"
563.59,492.97,75,1390,11954.13,3.745,1034,"0","1","1","0","1","1","1","passenger cars","1","0","5","0"
398.46,76.1,75,1390,19590,3.826,920,"0","0","1","1","0","1","5+","passenger cars","1","0","5","0"
390.07,719.5,110,1587,19550,4.274,1200,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","3","0"
340.08,58.53,60,1997,22780,4.522,1512,"1","0","6+","0","1","1","2 - 4","vans","1","1","5","0"
243.56,784.02,70,1248,16060,4.322,1250,"0","1","2","0","0","1","1","vans","0","0","5","1"
225.82,261.76,115,1753,20300,4.382,1253,"1","1","2","0","0","1","1","passenger cars","0","0","4","1"
182.3,882,64,1896,12455,4.207,1135,"1","1","2","0","0","1","1","vans","1","0","4","1"
73.81,13948.78,100,1956,32941.97,4.963,1845,"0","0","5","1","0","1","5+","vans","0","1","5","1"
246.59,85.6,100,1870,23145,4.209,1270,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","5","0"
199.1,882,130,1896,23415.43,4.675,1375,"0","0","3","0","1","1","5+","passenger cars","0","0","5","1"
344.79,60.99,129,1598,23000,3.655,1140,"1","0","4","0","1","1","1","passenger cars","1","0","2","1"
490.84,71.51,100,1596,17590,4.468,1202,"0","0","3","0","1","1","2 - 4","passenger cars","0","1","5","0"
251.27,944.43,90,1997,20300,4.419,1328,"0","0","1","0","1","2","5+","passenger cars","0","0","5","1"
539.86,49.13,110,1598,24954.68,4.255,1299,"0","0","1","0","0","1","1","passenger cars","0","1","5","1"
606.18,112.39,115,1560,21700,4.556,1293,"0","0","5","0","0","2","5+","passenger cars","0","1","5","1"
229.74,882,115,1598,22250,4.315,1365,"0","0","5","0","0","2","5+","passenger cars","0","0","5","1"
322.63,64.47,90,1753,16880,4.174,1197,"0","0","1","0","0","1","5+","passenger cars","1","0","3","1"
181.75,49.13,90,1686,15690,4.11,1205,"1","0","5","0","1","1","5+","passenger cars","0","0","3","1"
682.95,113.46,108,2953,29925,5.548,2050,"1","0","1","0","1","1","5+","vans","0","1","2","1"
324.72,882,70,1398,12880,3.822,1049,"0","0","1","0","0","1","5+","passenger cars","0","0","5","1"
326.16,49.13,70,1398,14067,3.85,947,"0","0","2","0","0","1","5+","passenger cars","1","0","5","1"
344.98,583.08,140,1968,40260.01,4.423,1614,"1","1","1","0","0","2","2 - 4","passenger cars","1","0","2","1"
808.13,1427.36,140,1991,25705,4.545,1556,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
380.69,73.04,105,2799,24730,5.88,1915,"0","0","2","0","0","1","5+","vans","0","0","5","1"
308.32,80.94,55,1461,23700,4.263,1365,"0","0","2","0","1","1","5+","passenger cars","1","1","4","0"
397.21,237.63,94,1997,19923.2,4.475,1561,"1","0","1","0","1","2","5+","vans","1","0","5","1"
213.17,180.44,90,1896,14270.08,4.14,1170,"0","0","1","0","0","1","5+","passenger cars","0","1","4","1"
307.01,93.29,70,1968,17410.65,4.405,1494,"0","1","1","0","1","1","1","passenger cars","1","0","4","1"
378.89,3232.41,85,1390,15370,4.28,1075,"0","0","1","0","0","1","5+","passenger cars","1","0","4","0"
360.83,882,102,2148,21390.4,4.66,1630,"1","1","1","0","0","1","1","vans","0","0","4","1"
238.91,85.01,115,1753,20300,4.382,1253,"0","0","1","0","0","1","5+","passenger cars","0","0","4","1"
247.57,263.71,136,1988,21468.15,4.63,1287,"1","0","1","0","0","2","2 - 4","passenger cars","0","0","5","0"
581.44,1422.58,150,1995,35827.64,4.439,1470,"0","0","1","0","0","2","2 - 4","passenger cars","1","0","5","1"
666.44,882,115,1968,55536.06,4.904,2370,"1","0","2","0","0","1","5+","passenger cars","0","0","5","0"
323.4,270.91,138,1975,17639.71,4.34,1280,"1","1","3","0","1","2","2 - 4","passenger cars","0","0","3","0"
154.54,79.77,138,1398,16445,3.999,1108,"1","1","3","0","1","1","2 - 4","passenger cars","0","1","3","0"
580.31,302.48,125,2151,32208.24,4.515,1410,"0","0","2","0","1","1","5+","passenger cars","0","0","4","1"
261.22,206.88,90,1998,19440,4.731,1445,"0","0","3","0","0","1","5+","passenger cars","1","0","5","1"
240.21,7028.74,61,1994,17710,4.52,1260,"0","0","5","1","1","3","2 - 4","passenger cars","1","0","5","0"
142.11,63.17,8,125,2899,3.68,134,"1","0","1","0","0","1","1","motorbikes","0","0","0","0"
318.66,882,95,1689,24163.45,3.776,1115,"0","1","1","0","1","1","1","passenger cars","0","0","5","1"
240.17,300.5,105,1587,20100,4.419,1269,"1","0","2","0","0","1","5+","passenger cars","0","1","5","1"
322.18,150.25,120,1910,24720,4.467,1553,"1","1","3","0","0","1","1","passenger cars","1","0","5","1"
300.63,200.12,163,1995,37600,4.841,1510,"0","1","1","0","0","2","2 - 4","passenger cars","0","0","4","1"
108.83,294.49,18,182,4597.74,2.97,160,"1","1","1","0","0","1","1","motorbikes","1","0","0","0"
268.71,141.81,86,1299,11533.42,4.14,1125,"0","0","2","0","0","2","5+","passenger cars","0","0","5","0"
713.92,79.25,140,1968,25086.92,4.415,1410,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
548.99,644.09,116,1496,32400,4.439,1480,"1","0","1","0","1","1","2 - 4","passenger cars","1","1","5","1"
304.86,51.95,108,1686,16280,4.042,1318,"1","0","6+","1","1","1","5+","passenger cars","1","1","2","1"
250.51,609.75,110,1598,24620,4.082,1125,"1","1","4","0","0","1","1","passenger cars","0","0","2","0"
231.61,67.88,70,1390,9600.54,3.88,995,"0","0","5","1","0","3","5+","passenger cars","0","1","3","0"
230.82,109.74,92,1997,28150,4.763,1635,"0","0","5","0","0","4+","5+","passenger cars","0","0","5","1"
207.45,117.79,90,1753,15410,4.308,1399,"1","1","1","0","0","1","1","vans","0","0","4","1"
341.93,98.73,140,1991,24285,4.35,1687,"1","1","1","0","1","1","1","passenger cars","1","0","5","1"
206.41,115.07,70,1248,19230,4.39,1370,"0","0","2","0","0","1","2 - 4","vans","0","0","5","0"
281.62,51.95,102,1595,17799,4.315,1205,"0","0","1","0","1","1","1","passenger cars","1","0","5","0"
313.61,60.62,60,1149,9856.6,3.71,870,"1","1","2","0","0","1","1","passenger cars","0","0","5","0"
225,88.14,113,1896,17100,4.149,1083,"0","0","5","0","0","1","5+","passenger cars","1","0","4","0"
229.87,882,85,1700,12801.56,4.11,1135,"0","0","2","0","0","1","2 - 4","passenger cars","1","0","5","0"
238.89,882,90,1753,15910,4.308,1577,"1","1","1","0","0","1","1","vans","0","0","4","1"
336.38,1099.8,108,3222,47423.11,4.818,1680,"1","0","3","1","0","4+","5+","passenger cars","1","1","6","1"
381.13,242.71,108,2953,22838.46,6.76,1970,"1","0","3","1","1","4+","5+","vans","1","1","6","1"
316.91,612.03,64,1896,11988.31,3.815,1105,"0","0","1","0","0","2","5+","passenger cars","1","1","3","1"
314.91,499.23,60,1686,11557.46,3.817,1065,"0","1","1","0","0","3","2 - 4","passenger cars","0","0","5","1"
227.29,283.64,113,1590,14724.8,4.394,1235,"1","0","2","0","0","2","2 - 4","passenger cars","0","0","5","0"
700.39,100.81,143,2148,38123.11,4.82,1590,"0","0","2","1","1","2","5+","passenger cars","1","0","4","1"
203.21,150.25,75,1389,7602.8,4.066,780,"1","1","2","0","1","2","2 - 4","passenger cars","1","0","5","0"
157.41,180.56,20,250,5299,3.551,164,"0","1","2","0","0","2","2 - 4","motorbikes","1","0","0","0"
313.78,56.99,68,1587,12700,3.822,1013,"1","0","3","0","1","3","2 - 4","passenger cars","1","1","5","1"
